filt,group,Type,n,%,total
raw,human,anti-conservative,166,0.3713646532438479,447
raw,human,bimodal,67,0.14988814317673377,447
raw,human,conservative,191,0.4272930648769575,447
raw,human,other,1,0.0022371364653243847,447
raw,human,spiky,21,0.04697986577181208,447
raw,human,uniform,1,0.0022371364653243847,447
raw,mouse,anti-conservative,138,0.23834196891191708,579
raw,mouse,bimodal,132,0.22797927461139897,579
raw,mouse,conservative,260,0.44905008635578586,579
raw,mouse,other,22,0.037996545768566495,579
raw,mouse,spiky,22,0.037996545768566495,579
raw,mouse,uniform,5,0.008635578583765112,579
raw,other,anti-conservative,216,0.3564356435643564,606
raw,other,bimodal,106,0.17491749174917492,606
raw,other,conservative,223,0.367986798679868,606
raw,other,other,35,0.057755775577557754,606
raw,other,spiky,25,0.041254125412541254,606
raw,other,uniform,1,0.0016501650165016502,606
basemean,human,anti-conservative,52,0.9122807017543859,57
basemean,human,other,3,0.05263157894736842,57
basemean,human,spiky,2,0.03508771929824561,57
basemean,mouse,anti-conservative,73,0.7849462365591398,93
basemean,mouse,other,15,0.16129032258064516,93
basemean,mouse,spiky,4,0.043010752688172046,93
basemean,mouse,uniform,1,0.010752688172043012,93
basemean,other,anti-conservative,49,0.7101449275362319,69
basemean,other,other,19,0.2753623188405797,69
basemean,other,uniform,1,0.014492753623188406,69
