Type,id,group,n,total,%
anti-conservative,raw,human,166,447,0.3713646532438479
anti-conservative,raw,mouse,138,579,0.23834196891191708
anti-conservative,raw,other,216,606,0.3564356435643564
anti-conservative,filtered,human,52,57,0.9122807017543859
anti-conservative,filtered,mouse,73,93,0.7849462365591398
anti-conservative,filtered,other,49,69,0.7101449275362319
bimodal,raw,human,67,447,0.14988814317673377
bimodal,raw,mouse,132,579,0.22797927461139897
bimodal,raw,other,106,606,0.17491749174917492
bimodal,filtered,human,0,57,0
bimodal,filtered,mouse,0,93,0
bimodal,filtered,other,0,69,0
conservative,raw,human,191,447,0.4272930648769575
conservative,raw,mouse,260,579,0.44905008635578586
conservative,raw,other,223,606,0.367986798679868
conservative,filtered,human,0,57,0
conservative,filtered,mouse,0,93,0
conservative,filtered,other,0,69,0
other,raw,human,1,447,0.0022371364653243847
other,raw,mouse,22,579,0.037996545768566495
other,raw,other,35,606,0.057755775577557754
other,filtered,human,3,57,0.05263157894736842
other,filtered,mouse,15,93,0.16129032258064516
other,filtered,other,19,69,0.2753623188405797
spiky,raw,human,21,447,0.04697986577181208
spiky,raw,mouse,22,579,0.037996545768566495
spiky,raw,other,25,606,0.041254125412541254
spiky,filtered,human,2,57,0.03508771929824561
spiky,filtered,mouse,4,93,0.043010752688172046
spiky,filtered,other,0,69,0
uniform,raw,human,1,447,0.0022371364653243847
uniform,raw,mouse,5,579,0.008635578583765112
uniform,raw,other,1,606,0.0016501650165016502
uniform,filtered,human,0,57,0
uniform,filtered,mouse,1,93,0.010752688172043012
uniform,filtered,other,1,69,0.014492753623188406
